Season,Quarter,Year,DOY,Month,Site,Date,NO3cq,NO3Q_rvalue
Fall,4,2012,280,10,LMP,10/6/2012,0.333112629,0.309235353
Fall,4,2012,281,10,LMP,10/7/2012,0.365718182,0.332291321
Fall,4,2012,282,10,LMP,10/8/2012,0.397885228,0.355690704
Fall,4,2012,283,10,LMP,10/9/2012,0.396313264,0.359555454
Fall,4,2012,284,10,LMP,10/10/2012,0.345095266,0.331735921
Fall,4,2012,285,10,LMP,10/11/2012,0.177351846,0.179210638
Fall,4,2012,286,10,LMP,10/12/2012,0.045710383,0.04735181
Fall,4,2012,287,10,LMP,10/13/2012,-0.04687048,-0.04913339
Fall,4,2012,288,10,LMP,10/14/2012,-0.152533905,-0.152111283
Fall,4,2012,289,10,LMP,10/15/2012,-0.270468764,-0.261780358
Fall,4,2012,290,10,LMP,10/16/2012,-0.320867324,-0.321503061
Fall,4,2012,291,10,LMP,10/17/2012,-0.319904016,-0.336619238
Fall,4,2012,292,10,LMP,10/18/2012,-0.347277891,-0.367334983
Fall,4,2012,293,10,LMP,10/19/2012,-0.38132886,-0.4029086
Fall,4,2012,294,10,LMP,10/20/2012,-0.397060946,-0.434602839
Fall,4,2012,295,10,LMP,10/21/2012,-0.418478968,-0.476782335
Fall,4,2012,296,10,LMP,10/22/2012,-0.454905133,-0.520285701
Fall,4,2012,297,10,LMP,10/23/2012,-0.486803272,-0.5498109
Fall,4,2012,298,10,LMP,10/24/2012,-0.517125159,-0.57375235
Fall,4,2012,299,10,LMP,10/25/2012,-0.557914111,-0.601706614
Fall,4,2012,300,10,LMP,10/26/2012,-0.633580485,-0.646395864
Fall,4,2012,301,10,LMP,10/27/2012,-0.751527962,-0.712151119
Fall,4,2012,302,10,LMP,10/28/2012,-0.904309488,-0.790099747
Fall,4,2012,303,10,LMP,10/29/2012,-0.979101407,-0.834778046
Fall,4,2012,304,10,LMP,10/30/2012,-0.968542742,-0.843452909
Fall,4,2012,305,10,LMP,10/31/2012,-0.854838013,-0.801693425
Fall,4,2012,306,11,LMP,11/1/2012,-0.746000151,-0.770005547
Fall,4,2012,307,11,LMP,11/2/2012,-0.669469584,-0.74858912
Fall,4,2012,308,11,LMP,11/3/2012,-0.593097836,-0.730203685
Fall,4,2012,309,11,LMP,11/4/2012,-0.508957642,-0.709495341
Fall,4,2012,310,11,LMP,11/5/2012,-0.429971611,-0.666670756
Fall,4,2012,311,11,LMP,11/6/2012,-0.351940218,-0.583579731
Fall,4,2012,312,11,LMP,11/7/2012,-0.24342886,-0.45112338
Fall,4,2012,313,11,LMP,11/8/2012,-0.120330751,-0.245963707
Fall,4,2012,314,11,LMP,11/9/2012,0.015770947,0.036807914
Fall,4,2012,315,11,LMP,11/10/2012,0.083237351,0.181603211
Fall,4,2012,316,11,LMP,11/11/2012,0.144553724,0.286475437
Fall,4,2012,317,11,LMP,11/12/2012,0.198718012,0.350750564
Fall,4,2012,318,11,LMP,11/13/2012,0.147144108,0.236459602
Fall,4,2012,319,11,LMP,11/14/2012,0.056531791,0.089789618
Fall,4,2012,320,11,LMP,11/15/2012,0.03860666,0.057981177
Fall,4,2012,321,11,LMP,11/16/2012,0.067667595,0.098208443
Fall,4,2012,322,11,LMP,11/17/2012,0.064146991,0.087427717
Fall,4,2012,323,11,LMP,11/18/2012,0.023028268,0.029515255
Fall,4,2012,324,11,LMP,11/19/2012,-0.012870216,-0.016073917
Fall,4,2012,325,11,LMP,11/20/2012,-0.044149212,-0.055352765
Fall,4,2012,326,11,LMP,11/21/2012,-0.075600968,-0.101458755
Fall,4,2012,327,11,LMP,11/22/2012,-0.134381506,-0.187153021
Fall,4,2012,328,11,LMP,11/23/2012,-0.181700314,-0.261169348
Fall,4,2012,329,11,LMP,11/24/2012,-0.213663521,-0.318231697
Fall,4,2012,330,11,LMP,11/25/2012,-0.268488149,-0.425224567
Fall,4,2012,331,11,LMP,11/26/2012,-0.332948351,-0.546973003
Fall,4,2012,332,11,LMP,11/27/2012,-0.421913496,-0.699684474
Fall,4,2012,333,11,LMP,11/28/2012,-0.508398109,-0.83551286
Fall,4,2012,334,11,LMP,11/29/2012,-0.523829537,-0.845700761
Fall,4,2012,335,11,LMP,11/30/2012,-0.585076016,-0.867413945
Fall,4,2012,336,12,LMP,12/1/2012,-0.655124489,-0.87382798
Fall,4,2012,337,12,LMP,12/2/2012,-0.682725981,-0.856529126
Fall,4,2012,338,12,LMP,12/3/2012,-0.677785182,-0.835447812
Fall,4,2012,339,12,LMP,12/4/2012,-0.654027818,-0.766153243
Fall,4,2012,340,12,LMP,12/5/2012,-0.59436534,-0.689355614
Fall,4,2012,341,12,LMP,12/6/2012,-0.562680915,-0.679017136
Fall,4,2012,342,12,LMP,12/7/2012,-0.506763611,-0.667978872
Fall,4,2012,343,12,LMP,12/8/2012,-0.508756343,-0.688907396
Fall,4,2012,344,12,LMP,12/9/2012,-0.574474598,-0.70509937
Fall,4,2012,345,12,LMP,12/10/2012,-0.6305893,-0.687692437
Fall,4,2012,346,12,LMP,12/11/2012,-0.638626572,-0.646078213
Fall,4,2012,347,12,LMP,12/12/2012,-0.593052566,-0.576625257
Fall,4,2012,348,12,LMP,12/13/2012,-0.527888168,-0.513312652
Fall,4,2012,349,12,LMP,12/14/2012,-0.489504919,-0.466079548
Fall,4,2012,350,12,LMP,12/15/2012,-0.449206059,-0.409228527
Fall,4,2012,351,12,LMP,12/16/2012,-0.390553531,-0.348780894
Fall,4,2012,352,12,LMP,12/17/2012,-0.327866465,-0.301539527
Fall,4,2012,353,12,LMP,12/18/2012,-0.140402243,-0.142943282
Fall,4,2012,354,12,LMP,12/19/2012,0.047019891,0.064214821
Fall,4,2012,355,12,LMP,12/20/2012,0.054808021,0.092620188
Fall,4,2012,356,12,LMP,12/21/2012,0.054382933,0.110490286
Fall,4,2012,357,12,LMP,12/22/2012,0.031395397,0.077936773
Fall,4,2012,358,12,LMP,12/23/2012,-0.018669549,-0.054598934
Fall,4,2012,359,12,LMP,12/24/2012,-0.068166192,-0.221304222
Fall,4,2012,360,12,LMP,12/25/2012,-0.104681025,-0.355514755
Fall,4,2012,361,12,LMP,12/26/2012,-0.127994509,-0.436102975
Fall,4,2012,362,12,LMP,12/27/2012,-0.140642273,-0.471787386
Fall,4,2012,363,12,LMP,12/28/2012,-0.153434013,-0.511262217
Fall,4,2012,364,12,LMP,12/29/2012,-0.164547783,-0.540751628
Fall,4,2012,365,12,LMP,12/30/2012,-0.173459678,-0.560544119
Fall,4,2012,366,12,LMP,12/31/2012,-0.181643267,-0.574392463
Winter,1,2013,1,1,LMP,1/1/2013,-0.186493269,-0.576863143
Winter,1,2013,2,1,LMP,1/2/2013,-0.186480289,-0.566155771
Winter,1,2013,3,1,LMP,1/3/2013,-0.179218599,-0.556136322
Winter,1,2013,4,1,LMP,1/4/2013,-0.176924017,-0.554753927
Winter,1,2013,5,1,LMP,1/5/2013,-0.192764872,-0.602121317
Winter,1,2013,6,1,LMP,1/6/2013,-0.229752512,-0.679355237
